country,code,region,year,gdp_pc_usd,che_pc_usd
Singapore,SGP,WPR,2021,71333.53507467,3969.8908691400006
Slovakia,SVK,EUR,2021,21732.85261061,1684.5155029299997
Slovenia,SVN,EUR,2022,29479.08742667,2607.93847656
Solomon Islands,SLB,WPR,2021,2232.53702904,106.34587096999999
South Africa,ZAF,AFR,2021,7055.05501987,583.6710815399999
South Sudan,SSD,AFR,2021,557.6198216899999,32.67995834
Spain,ESP,EUR,2021,30114.351595940003,3234.29296875
Sri Lanka,LKA,SEAR,2021,4086.58526954,166.18121338
Sudan,SDN,EMR,2021,760.84382415,21.58010864
Suriname,SUR,AMR,2021,5259.29293159,298.93280029000005
Sweden,SWE,EUR,2022,56058.25708968999,5979.580566410001
Switzerland,CHE,EUR,2021,92342.82677582,10897.45019531
Syrian Arab Republic,SYR,EMR,2021,,
Tajikistan,TJK,EUR,2021,916.6932992600001,73.42660522
Thailand,THA,SEAR,2021,7060.89776438,364.36968994000006
Timor-Leste,TLS,SEAR,2021,1180.2183593200002,134.9980011
Togo,TGO,AFR,2021,974.6821940400001,54.14671707
Tonga,TON,WPR,2021,4451.862480350001,279.24603271
Trinidad and Tobago,TTO,AMR,2021,16032.50552971,1125.39733887
Tunisia,TUN,EMR,2021,3807.1815586800003,265.46484375
Turkmenistan,TKM,EUR,2021,10149.531508189999,565.2592773399999
Tuvalu,TUV,WPR,2021,5363.954244019999,1070.95751953
Türkiye,TUR,EUR,2021,9661.22775848,441.06225586
Uganda,UGA,AFR,2021,929.9739559100001,43.44807433999999
Ukraine,UKR,EUR,2021,4596.34738659,367.9831543
United Arab Emirates,ARE,EMR,2021,44315.563810039996,2351.80541992
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,2022,45296.08088030999,5138.63623047
United Republic of Tanzania,TZA,AFR,2021,1105.5003707600001,37.15989685000001
United States of America,USA,AMR,2022,75274.13096514999,12473.791015630002
Uruguay,URY,AMR,2021,17312.64844928,1620.32641602
Uzbekistan,UZB,EUR,2021,2031.44972259,157.19267273
Vanuatu,VUT,WPR,2021,3044.5784273100007,133.15092467999997
Venezuela (Bolivarian Republic of),VEN,AMR,2021,3965.034402240001,160.09840393
Viet Nam,VNM,WPR,2021,3756.48882112,172.55297852000004
Yemen,YEM,EMR,2021,,
Zambia,ZMB,AFR,2021,1137.3433023100001,75.33949279999999
Zimbabwe,ZWE,AFR,2021,2248.8476709799997,62.73724365
